brand,total_messages,inbound_customer,outbound_support,unique_customers,unique_conversations,multi_turn_convs,both_inbound_outbound_convs,no_support_response_convs,avg_conv_length,median_conv_length,usable_pairs,pair_ratio_pct
AmazonHelp,374042,203598,169840,73425,82556,51260,82556,0,4.53,3.0,153028,81.82
AppleSupport,238907,131764,106860,79517,80717,28144,80717,0,2.96,2.0,105487,88.31
Uber_Support,128550,72154,56270,39868,41923,15088,41923,0,3.07,2.0,55189,85.86
SpotifyCares,91889,48543,43265,28302,28280,10500,28277,0,3.25,2.0,41383,90.07
AmericanAir,87584,50054,36764,23261,26386,11577,26386,0,3.32,2.0,36418,83.16
Delta,87994,45296,42253,23496,26168,11147,26166,0,3.36,2.0,36353,82.63
TMobileHelp,82730,47158,34317,21637,22820,8627,22820,0,3.63,2.0,33330,80.58
comcastcares,73049,39579,33031,23435,24063,8794,24063,0,3.04,2.0,30156,82.56
SouthwestAir,64726,35370,28977,20734,21636,7231,21634,0,2.99,2.0,27975,86.44
VirginTrains,65810,37832,27817,13452,14853,9186,14851,0,4.43,3.0,25906,78.73
Tesco,73159,34228,38573,16957,16722,11629,16722,0,4.38,4.0,25196,68.88
Ask_Spectrum,59638,33252,25860,18746,18532,6561,18531,0,3.22,2.0,24666,82.72
British_Airways,60716,31187,29361,14918,16452,8830,16452,0,3.69,3.0,23982,79.0
hulu_support,49295,26807,21872,14298,14955,5897,14952,0,3.3,2.0,21096,85.59
sprintcare,54051,30212,22381,14748,13560,6383,13560,0,3.99,2.0,19736,73.03
XboxSupport,57657,32395,24557,15194,13455,8396,13435,0,4.29,3.0,19636,68.11
AskPlayStation,43136,23954,19098,12935,12533,5727,12533,0,3.44,2.0,18451,85.55
GWRHelp,46843,27278,19364,8149,10732,6951,10732,0,4.36,3.0,18406,78.59
ChipotleTweets,41840,23084,18749,15151,14392,4870,14392,0,2.91,2.0,18193,86.96
sainsburys,43709,23710,19466,11399,10934,6231,10934,0,4.0,3.0,17624,80.64
